HallwayType,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,323893
terraced,Sin-nam,0,3,2,475,2008,8,829,198230
terraced,Banwoldang,0,2,2,524,2007,4,1419,372566
mixed,Bangoge,5,5,4,798,2005,7,914,164601
mixed,Bangoge,5,5,4,798,2005,7,572,109734
terraced,Banwoldang,0,2,2,524,2007,4,1394,247787
mixed,Myung-duk,5,6,5,536,1993,4,914,158407
corridor,Myung-duk,5,7,5,0,1992,3,640,126548
terraced,Sin-nam,0,3,2,475,2008,8,829,172566
mixed,Bangoge,5,5,4,798,2005,7,743,146017
mixed,Bangoge,5,5,4,798,2005,7,1184,203539
mixed,Bangoge,5,5,4,798,2005,7,914,161946
mixed,Myung-duk,5,6,5,536,1993,4,644,183628
mixed,Myung-duk,5,6,5,536,1993,4,914,195575
terraced,Banwoldang,0,2,2,524,2007,4,1394,309292
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,331858
terraced,Sin-nam,0,3,2,475,2008,8,914,241592
mixed,Myung-duk,5,6,5,536,1993,4,914,138053
mixed,Bangoge,5,5,4,798,2005,7,1184,218584
terraced,Sin-nam,0,3,2,475,2008,8,1167,380530
terraced,Banwoldang,0,2,2,524,2007,4,1419,277876
corridor,Myung-duk,5,7,5,0,1992,3,355,63274
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,258079
terraced,Sin-nam,0,3,2,475,2008,8,914,231415
mixed,Bangoge,5,5,4,798,2005,7,572,141150
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,250176
corridor,no_subway_nearby,1,4,1,218,2014,1,135,56637
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,242035
terraced,Banwoldang,0,4,1,605,2007,5,1629,432743
mixed,Bangoge,5,5,4,798,2005,7,1184,274336
mixed,Bangoge,5,5,4,798,2005,7,572,74256
terraced,Banwoldang,0,2,2,524,2007,4,1394,195575
mixed,Myung-duk,5,6,5,536,1993,4,644,84955
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,147761
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,143389
mixed,Myung-duk,1,5,4,79,1992,3,644,130973
mixed,Myung-duk,1,5,4,79,1992,3,644,79646
terraced,Sin-nam,0,1,2,536,2006,5,818,151327
terraced,Banwoldang,0,4,1,605,2007,5,1273,295460
corridor,Banwoldang,0,3,2,108,2014,2,206,72920
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,495575
mixed,Myung-duk,1,5,4,79,1992,3,644,89380
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,353982
mixed,Bangoge,5,5,4,798,2005,7,914,277876
terraced,Sin-nam,0,3,2,475,2008,8,829,285840
mixed,Bangoge,5,5,4,798,2005,7,914,280530
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,228318
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,469026
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,324778
mixed,Myung-duk,5,6,5,536,1993,4,644,75221
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,343362
terraced,Myung-duk,2,3,1,181,2006,4,903,159292
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,265486
terraced,Sin-nam,0,1,2,536,2006,5,914,318584
terraced,Banwoldang,0,4,1,605,2007,5,1629,371681
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,380530
terraced,Banwoldang,0,0,0,203,2014,10,1252,460176
corridor,Sin-nam,1,5,2,18,1986,3,451,53097
terraced,Banwoldang,0,4,1,605,2007,5,1334,376106
terraced,no_subway_nearby,2,2,1,203,2009,5,910,147141
corridor,Daegu,2,5,0,76,1985,3,587,66371
terraced,Banwoldang,0,2,2,524,2007,4,1394,256637
mixed,Bangoge,5,5,4,798,2005,7,743,203539
terraced,Sin-nam,0,1,2,536,2006,5,818,181415
terraced,Sin-nam,0,3,2,475,2008,8,914,334513
terraced,Sin-nam,0,1,2,536,2006,5,914,186725
mixed,Bangoge,5,5,4,798,2005,7,572,153097
corridor,Daegu,2,5,0,76,1985,3,676,72566
mixed,Bangoge,5,5,4,798,2005,7,914,168761
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,402654
terraced,Sin-nam,0,1,2,536,2006,5,1412,278761
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,252212
terraced,Banwoldang,0,4,1,605,2007,5,1483,370796
terraced,Banwoldang,0,4,1,605,2007,5,1483,383185
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,251327
corridor,Sin-nam,1,5,2,18,1986,3,508,47787
mixed,Myung-duk,5,6,5,536,1993,4,644,77876
terraced,Myung-duk,5,7,5,1174,2014,9,644,262831
terraced,Sin-nam,0,1,2,536,2006,5,818,291150
mixed,Bangoge,5,5,4,798,2005,7,743,143362
mixed,Bangoge,5,5,4,798,2005,7,914,199115
mixed,Myung-duk,1,5,4,79,1992,3,644,159292
mixed,Bangoge,5,5,4,798,2005,7,572,192035
corridor,Myung-duk,5,7,5,0,1992,3,576,44247
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,229106
terraced,Myung-duk,2,3,1,181,2006,4,903,205309
corridor,Myung-duk,5,7,5,0,1992,3,355,74336
terraced,Myung-duk,5,7,5,1174,2014,9,910,349557
terraced,Banwoldang,0,2,2,524,2007,4,1394,241592
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,238938
terraced,Banwoldang,0,2,2,524,2007,4,1366,374336
terraced,Myung-duk,5,7,5,1174,2014,9,640,265486
terraced,Myung-duk,2,3,1,181,2006,4,903,163716
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,193769
terraced,Sin-nam,0,3,2,475,2008,8,829,265486
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,362831
mixed,Bangoge,5,5,4,798,2005,7,1184,186725
terraced,Banwoldang,0,2,2,524,2007,4,1103,243362
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,426,98477
corridor,Myung-duk,5,7,5,0,1992,3,355,34513
corridor,Banwoldang,0,3,2,108,2014,2,281,104424
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,256637
terraced,Banwoldang,0,2,2,524,2007,4,1419,362831
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,442477
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,1327,169911
terraced,Banwoldang,0,4,1,605,2007,5,1273,337168
terraced,Myung-duk,5,7,5,1174,2014,9,1092,415929
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,169026
terraced,Banwoldang,0,2,2,524,2007,4,1103,228761
terraced,Myung-duk,5,7,5,1174,2014,9,907,337168
mixed,Myung-duk,1,5,4,79,1992,3,914,132743
terraced,Banwoldang,0,4,1,605,2007,5,1690,448672
corridor,Myung-duk,5,7,5,0,1992,3,644,53097
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,199115
terraced,Banwoldang,0,4,1,605,2007,5,1690,462831
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,181061
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,255442
terraced,Sin-nam,0,3,2,475,2008,8,914,178761
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,170796
mixed,Bangoge,5,5,4,798,2005,7,743,183185
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,207079
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,274336
terraced,Banwoldang,0,4,1,605,2007,5,1690,422123
mixed,Bangoge,5,5,4,798,2005,7,914,271681
mixed,Chil-sung-market,1,7,3,56,1997,5,558,78761
corridor,Myung-duk,5,7,5,0,1992,3,576,57964
terraced,Myung-duk,2,3,1,181,2006,4,903,298230
terraced,no_subway_nearby,2,2,1,203,2009,5,910,162831
mixed,Myung-duk,1,5,4,79,1992,3,914,119469
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,811,181415
mixed,Bangoge,5,5,4,798,2005,7,914,183628
mixed,Bangoge,5,5,4,798,2005,7,743,141592
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,300884
corridor,no_subway_nearby,1,4,1,218,2014,1,135,53274
mixed,Myung-duk,5,6,5,536,1993,4,914,132743
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,392035
corridor,Banwoldang,0,3,2,108,2014,2,288,101769
terraced,no_subway_nearby,2,2,1,203,2009,5,910,198256
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,307079
terraced,Myung-duk,2,3,1,181,2006,4,857,254867
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,157522
terraced,Sin-nam,0,1,2,536,2006,5,1149,291150
terraced,Myung-duk,5,7,5,1174,2014,9,1088,470796
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,222123
mixed,Myung-duk,5,6,5,536,1993,4,1288,185840
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,252814
terraced,Banwoldang,0,4,1,605,2007,5,1483,317699
corridor,Myung-duk,5,7,5,0,1992,3,355,38938
terraced,Banwoldang,0,2,2,524,2007,4,1103,227433
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,230088
terraced,Daegu,0,3,2,400,2015,7,644,283185
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,252814
terraced,Banwoldang,0,2,2,524,2007,4,1366,274336
corridor,Banwoldang,0,3,2,108,2014,2,288,107964
mixed,Bangoge,5,5,4,798,2005,7,743,240707
mixed,Bangoge,5,5,4,798,2005,7,914,168141
terraced,Myung-duk,2,3,1,181,2006,4,903,194690
terraced,Banwoldang,0,2,2,524,2007,4,1366,271681
terraced,Sin-nam,0,1,2,536,2006,5,1412,281415
corridor,Myung-duk,5,7,5,0,1992,3,640,66371
terraced,Myung-duk,2,3,1,181,2006,4,903,167964
terraced,Sin-nam,0,1,2,536,2006,5,1412,261061
terraced,Myung-duk,2,3,1,181,2006,4,903,271681
mixed,Myung-duk,5,6,5,536,1993,4,644,118584
mixed,Myung-duk,5,6,5,536,1993,4,644,115486
mixed,Myung-duk,5,6,5,536,1993,4,1761,194690
terraced,Myung-duk,5,7,5,1174,2014,9,640,250442
terraced,no_subway_nearby,2,2,1,203,2009,5,910,174336
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,307964
mixed,Bangoge,5,5,4,798,2005,7,914,293805
mixed,Myung-duk,5,6,5,536,1993,4,1761,228318
mixed,Myung-duk,5,6,5,536,1993,4,644,82300
terraced,no_subway_nearby,2,2,1,203,2009,5,1160,355752
terraced,Banwoldang,0,4,1,605,2007,5,1483,348672
corridor,Banwoldang,0,3,2,108,2014,2,288,105752
terraced,Sin-nam,0,1,2,536,2006,5,1437,261061
terraced,Sin-nam,0,1,2,536,2006,5,1412,252212
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,292035
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,413274
terraced,Sin-nam,0,3,2,475,2008,8,914,331858
terraced,Sin-nam,0,3,2,475,2008,8,829,215486
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,225663
corridor,Myung-duk,5,7,5,0,1992,3,576,61946
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,194690
mixed,Bangoge,5,5,4,798,2005,7,572,73840
terraced,Banwoldang,0,2,2,524,2007,4,1103,324778
mixed,Chil-sung-market,1,7,3,56,1997,5,914,90707
terraced,Sin-nam,0,1,2,536,2006,5,818,196460
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,212389
mixed,Myung-duk,5,6,5,536,1993,4,914,110619
corridor,no_subway_nearby,1,4,1,218,2014,1,156,60176
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,325663
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,169026
mixed,Bangoge,5,5,4,798,2005,7,572,188495
mixed,Bangoge,5,5,4,798,2005,7,914,183185
terraced,Sin-nam,0,1,2,536,2006,5,1149,349557
terraced,Myung-duk,2,3,1,181,2006,4,903,176991
mixed,Bangoge,5,5,4,798,2005,7,572,75088
mixed,Myung-duk,5,6,5,536,1993,4,914,168141
mixed,Bangoge,5,5,4,798,2005,7,914,283185
terraced,Myung-duk,5,7,5,1174,2014,9,914,345132
corridor,Daegu,2,5,0,76,1985,3,587,105309
corridor,Myung-duk,5,7,5,0,1992,3,576,78318
corridor,Daegu,2,5,0,76,1985,3,587,115044
terraced,Sin-nam,0,3,2,475,2008,8,1167,294690
mixed,Myung-duk,5,6,5,536,1993,4,1761,318584
mixed,Bangoge,5,5,4,798,2005,7,914,197345
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,315929
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,234513
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,188495
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,150778
mixed,Myung-duk,5,6,5,536,1993,4,644,176991
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,287610
terraced,Myung-duk,5,7,5,1174,2014,9,1291,463716
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,636,210619
terraced,no_subway_nearby,2,2,1,203,2009,5,914,178761
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,162831
mixed,Myung-duk,5,6,5,536,1993,4,914,146017
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,318584
terraced,Banwoldang,0,2,2,524,2007,4,1366,243362
corridor,Myung-duk,5,7,5,0,1992,3,576,121238
mixed,Bangoge,5,5,4,798,2005,7,572,75504
corridor,Myung-duk,5,7,5,0,1992,3,355,81415
terraced,Sin-nam,0,1,2,536,2006,5,914,199115
terraced,Sin-nam,0,1,2,536,2006,5,1412,274336
terraced,no_subway_nearby,2,2,1,203,2009,5,910,274336
corridor,Banwoldang,0,3,2,108,2014,2,288,88495
terraced,Sin-nam,0,3,2,475,2008,8,914,309734
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,215044
corridor,Daegu,2,5,0,76,1985,3,676,70796
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,871,104867
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,247787
mixed,Myung-duk,5,6,5,536,1993,4,914,252212
mixed,Myung-duk,5,6,5,536,1993,4,914,203539
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,814,154867
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,469026
terraced,Banwoldang,0,0,0,203,2014,10,914,338053
terraced,Banwoldang,0,2,2,524,2007,4,1103,228318
mixed,Bangoge,5,5,4,798,2005,7,572,201769
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,415044
terraced,no_subway_nearby,2,2,1,203,2009,5,914,198451
terraced,Myung-duk,5,7,5,1174,2014,9,1092,414159
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,154867
mixed,Myung-duk,5,6,5,536,1993,4,644,149557
terraced,Myung-duk,5,7,5,1174,2014,9,910,309734
mixed,Bangoge,5,5,4,798,2005,7,572,167256
mixed,Myung-duk,5,6,5,536,1993,4,644,95575
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1387,300884
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,260707
terraced,Myung-duk,2,3,1,181,2006,4,903,171681
terraced,Sin-nam,0,3,2,475,2008,8,914,247787
terraced,no_subway_nearby,0,1,1,1321,2015,10,644,296460
corridor,Myung-duk,5,7,5,0,1992,3,355,39823
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,352212
terraced,no_subway_nearby,2,2,1,203,2009,5,914,200522
terraced,Sin-nam,0,3,2,475,2008,8,914,172566
terraced,Banwoldang,0,0,0,203,2014,10,914,362831
terraced,Sin-nam,0,1,2,536,2006,5,818,192035
terraced,Banwoldang,0,4,1,605,2007,5,1444,348672
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,310309
mixed,Myung-duk,5,6,5,536,1993,4,1451,141592
mixed,Bangoge,5,5,4,798,2005,7,572,74672
terraced,Sin-nam,0,1,2,536,2006,5,914,314159
mixed,Myung-duk,1,5,4,79,1992,3,1448,261061
mixed,Myung-duk,5,6,5,536,1993,4,1451,243362
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,161061
terraced,Myung-duk,2,3,1,181,2006,4,857,206194
mixed,Bangoge,5,5,4,798,2005,7,743,169469
mixed,Myung-duk,1,5,4,79,1992,3,914,108849
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,207522
mixed,Myung-duk,5,6,5,536,1993,4,914,131858
terraced,Banwoldang,0,2,2,524,2007,4,1419,371681
terraced,Myung-duk,5,7,5,1174,2014,9,640,242035
mixed,Myung-duk,5,6,5,536,1993,4,644,157522
terraced,Banwoldang,0,2,2,524,2007,4,914,318584
mixed,Bangoge,5,5,4,798,2005,7,914,261061
mixed,Myung-duk,5,6,5,536,1993,4,1288,305309
mixed,Myung-duk,1,5,4,79,1992,3,1448,115044
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,426,96469
mixed,Bangoge,5,5,4,798,2005,7,914,172566
mixed,Bangoge,5,5,4,798,2005,7,914,232743
mixed,Myung-duk,5,6,5,536,1993,4,644,148672
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,212389
mixed,Myung-duk,1,5,4,79,1992,3,644,83185
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,331858
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,165486
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,163716
terraced,Sin-nam,0,1,2,536,2006,5,1149,296460
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,644,146256
mixed,Myung-duk,5,6,5,536,1993,4,644,90707
terraced,Sin-nam,0,1,2,536,2006,5,914,197345
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,216814
terraced,Sin-nam,0,1,2,536,2006,5,914,292035
terraced,Banwoldang,0,4,1,605,2007,5,1629,414159
mixed,Bangoge,5,5,4,798,2005,7,572,169026
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,225663
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,371681
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,910,344247
terraced,Banwoldang,0,2,2,524,2007,4,1103,247787
mixed,Bangoge,5,5,4,798,2005,7,914,237168
terraced,no_subway_nearby,2,2,1,203,2009,5,910,305309
terraced,Myung-duk,5,7,5,1174,2014,9,1092,398230
corridor,Kyungbuk_uni_hospital,0,3,2,0,1978,3,903,126548
terraced,Banwoldang,0,4,1,605,2007,5,1690,464601
corridor,Myung-duk,5,7,5,0,1992,3,355,43362
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,223893
terraced,Banwoldang,0,0,0,203,2014,10,1256,469026
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,209734
terraced,no_subway_nearby,2,2,1,203,2009,5,910,269911
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,426,102601
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1643,353982
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,283185
mixed,Myung-duk,5,6,5,536,1993,4,644,155752
terraced,Sin-nam,0,1,2,536,2006,5,818,176991
terraced,Banwoldang,0,2,2,524,2007,4,1394,203539
terraced,no_subway_nearby,2,2,1,203,2009,5,914,303982
mixed,Bangoge,5,5,4,798,2005,7,914,203539
corridor,Myung-duk,5,7,5,0,1992,3,576,123893
terraced,Sin-nam,0,3,2,475,2008,8,914,316814
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,426,103663
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,358407
mixed,Bangoge,5,5,4,798,2005,7,572,73442
mixed,Bangoge,5,5,4,798,2005,7,572,102212
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,210176
terraced,Sin-nam,0,1,2,536,2006,5,1743,318584
terraced,no_subway_nearby,2,2,1,203,2009,5,910,149619
terraced,Myung-duk,2,3,1,181,2006,4,903,252654
terraced,no_subway_nearby,2,2,1,203,2009,5,914,282300
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,380530
mixed,Bangoge,5,5,4,798,2005,7,743,190707
corridor,Daegu,2,5,0,76,1985,3,587,60176
mixed,Myung-duk,5,6,5,536,1993,4,644,117256
mixed,Myung-duk,5,6,5,536,1993,4,644,171681
terraced,Sin-nam,0,3,2,475,2008,8,914,252212
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,159292
corridor,Daegu,2,5,0,76,1985,3,587,125663
terraced,Sin-nam,0,3,2,475,2008,8,914,271681
terraced,Myung-duk,2,3,1,181,2006,4,857,192920
terraced,Banwoldang,0,2,2,524,2007,4,1366,277256
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1131,245132
mixed,Chil-sung-market,1,7,3,56,1997,5,558,70796
mixed,Myung-duk,5,6,5,536,1993,4,644,181415
mixed,Myung-duk,1,5,4,79,1992,3,644,138938
corridor,Myung-duk,5,7,5,0,1992,3,576,58407
mixed,Bangoge,5,5,4,798,2005,7,572,207079
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,914,168141
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,181415
mixed,Bangoge,5,5,4,798,2005,7,572,72256
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,206194
terraced,Kyungbuk_uni_hospital,1,2,2,184,2006,5,910,172566
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1796,267256
terraced,Myung-duk,5,7,5,1174,2014,9,644,255752
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,336283
mixed,Chil-sung-market,1,7,3,56,1997,5,558,64601
terraced,Banwoldang,0,0,0,203,2014,10,914,361946
corridor,Myung-duk,5,7,5,0,1992,3,576,120353
terraced,Banwoldang,0,4,1,605,2007,5,1690,408849
corridor,Myung-duk,5,7,5,0,1992,3,355,63716
mixed,Myung-duk,1,5,4,79,1992,3,914,159292
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1377,155752
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,280530
terraced,Kyungbuk_uni_hospital,0,5,3,930,2013,7,907,371681
mixed,Myung-duk,5,6,5,536,1993,4,1761,168141
terraced,Myung-duk,5,7,5,1174,2014,9,910,346017
corridor,Myung-duk,5,7,5,0,1992,3,644,91150
terraced,Myung-duk,5,7,5,1174,2014,9,1092,345132
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,271681
terraced,Banwoldang,0,2,2,524,2007,4,1103,254867
terraced,Myung-duk,5,7,5,1174,2014,9,640,271681
corridor,Banwoldang,0,3,2,108,2014,2,288,104424
mixed,Myung-duk,1,5,4,79,1992,3,644,157079
mixed,Bangoge,5,5,4,798,2005,7,572,138495
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,1519,389380
terraced,no_subway_nearby,0,1,1,1321,2015,10,910,349557
terraced,Banwoldang,0,2,2,524,2007,4,1103,194690
terraced,Banwoldang,0,4,1,605,2007,5,1690,446902
mixed,Bangoge,5,5,4,798,2005,7,572,189380
terraced,Kyungbuk_uni_hospital,0,3,2,1270,2007,10,868,215044
terraced,Sin-nam,0,3,2,475,2008,8,829,259292
mixed,Bangoge,5,5,4,798,2005,7,914,185840
terraced,Kyungbuk_uni_hospital,1,5,1,0,1986,4,1313,230088
mixed,Bangoge,5,5,4,798,2005,7,914,173451
mixed,Bangoge,5,5,4,798,2005,7,914,274336
